Região,2025*,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
Norte,2.600.972,2.476.973,2.612.667,2.601.327,2.707.327,2.643.397,2.720.799,2.759.032,2.836.892,2.825.876,2.762.256,2.816.133,32.363.651
Nordeste,6.889.700,6.623.968,6.860.921,6.687.697,6.689.128,6.384.599,6.563.376,6.663.973,6.732.911,6.941.588,6.933.719,6.881.215,80.852.794
Sudeste,20.704.340,21.652.958,20.717.543,20.451.935,20.068.194,19.293.127,19.130.088,19.438.306,19.529.007,20.304.956,20.968.110,20.098.588,242.357.152
Sul,7.333.087,8.019.594,7.281.924,7.007.480,6.794.930,6.627.215,6.639.960,6.872.774,6.787.415,6.922.704,7.264.836,7.266.585,84.818.504
Centro-Oeste,2.777.817,2.792.694,2.799.970,2.823.787,2.869.828,2.807.527,2.761.935,2.952.376,3.042.069,3.136.958,3.058.417,2.821.091,34.644.470
SUBSISTEMA ELÉTRICO,,,,,,,,,,,,,
Sistemas isolados,308.956,283.510,292.087,299.226,305.901,302.528,305.209,313.142,340.352,344.356,339.035,335.079,3.769.381
Norte,2.853.260,2.697.765,2.857.495,2.753.788,2.779.906,2.709.597,2.800.668,2.872.947,2.876.693,2.883.384,2.833.011,2.868.330,33.786.844
Nordeste,6.041.928,5.847.442,6.045.947,5.947.886,6.023.812,5.728.358,5.897.500,5.940.128,6.030.359,6.221.237,6.222.740,6.190.158,72.137.494
Sudeste/C. Oeste,23.768.685,24.717.876,23.795.572,23.563.846,23.224.858,22.388.167,22.172.821,22.687.470,22.893.475,23.760.401,24.327.716,23.223.460,280.524.348
Sul,7.333.087,8.019.594,7.281.924,7.007.480,6.794.930,6.627.215,6.639.960,6.872.774,6.787.415,6.922.704,7.264.836,7.266.585,84.818.504
,2013,,,,,,,,,,,,
,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO
TOTAL BRASIL,38.391.038,38.029.467,38.468.143,38.673.537,38.371.701,37.653.536,37.723.944,38.639.358,38.550.776,39.411.960,39.945.439,39.583.058,463.441.957
REGIÃO GEOGRÁFICA,,,,,,,,,,,,,
Norte,2.392.453,2.266.206,2.378.192,2.461.104,2.454.164,2.449.533,2.562.520,2.559.396,2.571.187,2.720.586,2.641.606,2.738.735,30.195.682
Nordeste,6.663.524,6.455.462,6.708.919,6.855.469,6.663.637,6.387.356,6.537.945,6.583.577,6.539.700,6.835.807,6.762.927,6.737.081,79.731.404
Sudeste,20.089.886,19.775.484,19.907.218,20.097.448,19.911.821,19.652.655,19.331.509,19.838.087,20.027.335,20.325.563,20.765.973,20.381.824,240.104.803
Sul,6.617.103,6.952.735,6.833.953,6.572.123,6.613.672,6.498.366,6.544.154,6.797.218,6.572.961,6.654.874,6.849.526,6.885.986,80.392.671
Centro-Oeste,2.628.072,2.579.580,2.639.862,2.687.392,2.728.408,2.665.626,2.747.816,2.861.080,2.839.593,2.875.129,2.925.407,2.839.432,33.017.397
SUBSISTEMA ELÉTRICO,,,,,,,,,,,,,
Sistemas isolados,651.988,627.052,638.423,675.977,672.806,688.200,287.311,289.566,303.953,317.941,318.537,311.346,5.783.100
Norte,2.432.546,2.282.245,2.438.608,2.442.681,2.441.501,2.410.278,2.940.174,2.973.453,2.876.875,2.992.731,2.892.566,2.961.111,32.084.769
Nordeste,5.716.497,5.565.195,5.755.079,5.929.911,5.725.019,5.468.802,5.584.410,5.611.043,5.635.860,5.939.322,5.901.716,5.884.602,68.717.456
Sudeste/C. Oeste,22.972.904,22.602.240,22.802.081,23.052.844,22.918.704,22.587.890,22.367.895,22.968.078,23.161.127,23.507.091,23.983.094,23.540.013,276.463.961
Sul,6.617.103,6.952.735,6.833.953,6.572.123,6.613.672,6.498.366,6.544.154,6.797.218,6.572.961,6.654.874,6.849.526,6.885.986,80.392.671
,2012,,,,,,,,,,,,
,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO
TOTAL BRASIL,36.305.167,36.888.068,38.635.574,37.995.869,36.810.191,36.528.393,35.917.147,37.179.603,37.661.696,37.796.014,38.643.584,37.765.084,448.126.391
REGIÃO GEOGRÁFICA,,,,,,,,,,,,,
Norte,2.368.905,2.321.772,2.439.658,2.361.905,2.430.160,2.382.274,2.397.648,2.490.521,2.455.692,2.505.782,2.484.062,2.410.373,29.048.752
Nordeste,6.297.828,6.010.436,6.407.753,6.271.553,6.436.375,6.135.291,6.111.808,6.323.564,6.288.243,6.427.697,6.421.108,6.478.746,75.610.402
Sudeste,18.915.418,19.327.465,20.243.305,20.295.686,19.244.538,19.343.073,18.762.191,19.393.131,19.904.342,19.837.975,20.485.581,19.506.176,235.258.881
Sul,6.353.277,6.812.782,7.026.116,6.534.981,6.141.747,6.180.121,6.188.904,6.391.481,6.340.229,6.251.818,6.543.892,6.725.279,77.490.628
Centro-Oeste,2.369.739,2.415.613,2.518.741,2.531.744,2.557.371,2.487.634,2.456.596,2.580.906,2.673.190,2.772.742,2.708.942,2.644.510,30.717.728
SUBSISTEMA ELÉTRICO,,,,,,,,,,,,,
Sistemas isolados,605.432,642.267,625.665,618.898,626.248,640.553,639.555,682.030,669.984,697.099,715.760,659.099,7.822.590
Norte,2.519.336,2.388.287,2.528.737,2.464.743,2.564.902,2.462.680,2.453.561,2.510.949,2.486.488,2.521.284,2.427.264,2.442.993,29.771.224
Nordeste,5.308.865,5.073.264,5.426.930,5.297.261,5.414.017,5.150.028,5.164.193,5.335.634,5.303.269,5.436.662,5.467.115,5.519.204,63.896.442
Sudeste/C. Oeste,21.518.257,21.971.468,23.028.125,23.079.986,22.063.277,22.095.011,21.470.934,22.259.509,22.861.726,22.889.151,23.489.554,22.418.509,269.145.507
Sul,6.353.277,6.812.782,7.026.116,6.534.981,6.141.747,6.180.121,6.188.904,6.391.481,6.340.229,6.251.818,6.543.892,6.725.279,77.490.628
,2011,,,,,,,,,,,,
,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO
TOTAL BRASIL,35.873.744,35.444.917,36.350.690,36.048.318,35.565.987,35.159.574,35.417.293,36.335.813,36.965.189,36.743.770,36.368.390,36.741.949,433.015.634
REGIÃO GEOGRÁFICA,,,,,,,,,,,,,
Norte,2.215.755,2.063.282,2.235.928,2.218.663,2.262.894,2.323.604,2.351.516,2.406.843,2.419.447,2.476.119,2.369.154,2.415.932,27.759.137
Nordeste,5.988.600,5.502.639,6.026.836,5.966.554,5.899.310,5.809.043,5.936.622,6.092.998,6.093.026,6.216.199,6.137.780,6.244.198,71.913.805
Sudeste,19.247.694,19.218.269,19.390.849,19.369.031,18.908.980,18.737.534,18.731.628,19.249.143,19.753.623,19.385.128,19.378.704,19.297.800,230.668.383
Sul,6.285.133,6.504.407,6.435.946,6.183.233,6.147.984,6.011.171,6.081.811,6.177.576,6.133.865,6.118.714,6.045.746,6.344.201,74.469.787
Centro-Oeste,2.136.562,2.156.320,2.261.131,2.310.837,2.346.819,2.278.222,2.315.716,2.409.253,2.565.228,2.547.610,2.437.006,2.439.818,28.204.522
SUBSISTEMA ELÉTRICO,,,,,,,,,,,,,
Sistemas isolados,563.105,539.379,558.760,562.467,568.405,592.238,594.421,632.883,656.582,663.908,633.767,623.402,7.189.317
Norte,2.427.336,2.212.703,2.446.369,2.425.865,2.497.282,2.520.006,2.561.563,2.594.923,2.556.386,2.606.289,2.494.162,2.553.827,29.896.711
Nordeste,4.994.351,4.605.569,5.057.211,4.981.970,4.879.960,4.794.000,4.902.561,5.033.190,5.057.216,5.173.442,5.128.550,5.238.788,59.846.808
Sudeste/C. Oeste,21.603.819,21.582.859,21.852.404,21.894.783,21.472.356,21.242.159,21.276.937,21.897.241,22.561.140,22.181.417,22.066.165,21.981.731,261.613.011
Sul,6.285.133,6.504.407,6.435.946,6.183.233,6.147.984,6.011.171,6.081.811,6.177.576,6.133.865,6.118.714,6.045.746,6.344.201,74.469.787
,2010,,,,,,,,,,,,
,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO
TOTAL BRASIL,33.360.461,33.729.758,35.116.882,35.025.860,34.296.978,34.169.459,33.849.349,34.713.394,35.182.271,35.188.925,35.077.981,35.956.439,415.667.758
REGIÃO GEOGRÁFICA,,,,,,,,,,,,,
Norte,2.065.345,1.976.810,2.107.323,2.146.015,2.175.440,2.198.244,2.195.788,2.228.538,2.279.912,2.325.698,2.262.057,2.260.546,26.221.714
Nordeste,5.739.946,5.589.432,6.118.961,5.884.040,5.959.632,5.905.720,5.844.282,5.833.193,5.896.294,6.123.244,6.136.436,6.165.765,71.196.945
Sudeste,17.684.138,18.113.423,18.521.916,18.825.122,18.240.192,18.212.704,17.936.477,18.656.632,18.980.234,18.818.098,18.709.507,19.306.259,222.004.702
Sul,5.798.706,5.979.347,6.199.985,5.982.263,5.730.901,5.652.619,5.706.940,5.755.499,5.711.563,5.628.306,5.758.556,6.029.231,69.933.916
Centro-Oeste,2.072.325,2.070.746,2.168.697,2.188.420,2.190.813,2.200.172,2.165.862,2.239.532,2.314.269,2.293.579,2.211.426,2.194.639,26.310.480
SUBSISTEMA ELÉTRICO,,,,,,,,,,,,,
Sistemas isolados,530.185,522.360,519.974,569.974,555.372,572.783,549.102,583.301,609.370,617.640,607.895,583.777,6.821.731
Norte,2.304.691,2.153.625,2.347.780,2.309.802,2.373.574,2.369.141,2.407.663,2.452.133,2.439.170,2.485.835,2.419.808,2.455.639,28.518.861
Nordeste,4.776.266,4.706.249,5.165.046,4.940.166,4.997.391,4.958.753,4.872.636,4.825.434,4.909.409,5.106.765,5.144.191,5.169.293,59.571.599
Sudeste/C. Oeste,19.950.612,20.368.177,20.884.097,21.223.655,20.639.740,20.616.163,20.313.008,21.097.027,21.512.760,21.350.379,21.147.532,21.718.500,250.821.650
Sul,5.798.706,5.979.347,6.199.985,5.982.263,5.730.901,5.652.619,5.706.940,5.755.499,5.711.563,5.628.306,5.758.556,6.029.231,69.933.916
,2009,,,,,,,,,,,,
,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO
TOTAL BRASIL,30.666.662,30.495.143,31.977.750,32.042.793,30.945.453,30.715.086,31.325.075,32.262.206,32.716.666,33.419.533,33.616.820,34.123.195,384.306.380
REGIÃO GEOGRÁFICA,,,,,,,,,,,,,
Norte,1.981.913,1.804.162,1.882.490,1.919.027,1.923.559,1.993.823,2.023.693,2.074.891,2.089.534,2.135.822,2.132.369,2.121.716,24.082.999
Nordeste,5.340.331,5.098.685,5.391.003,5.307.847,5.189.806,5.122.412,5.257.444,5.501.276,5.581.245,5.779.775,5.705.872,5.968.068,65.243.764
Sudeste,16.124.348,16.190.533,16.931.565,17.027.530,16.500.151,16.330.119,16.655.879,17.158.443,17.516.988,17.858.520,18.058.927,18.201.962,204.554.966
Sul,5.279.472,5.465.140,5.742.612,5.671.556,5.266.440,5.261.043,5.315.045,5.392.188,5.362.624,5.440.950,5.591.816,5.739.383,65.528.269
Centro-Oeste,1.940.598,1.936.623,2.030.080,2.116.833,2.065.497,2.007.689,2.073.014,2.135.408,2.166.275,2.204.466,2.127.836,2.092.066,24.896.383
SUBSISTEMA ELÉTRICO,,,,,,,,,,,,,
Sistemas isolados,660.399,641.064,642.350,662.345,678.973,681.068,678.221,739.357,760.014,783.998,578.759,568.805,8.075.353
Norte,2.258.573,1.979.238,2.109.772,2.106.575,2.150.750,2.182.941,2.254.448,2.279.943,2.271.616,2.310.492,2.287.224,2.292.493,26.484.065
Nordeste,4.411.351,4.290.763,4.528.036,4.464.527,4.290.163,4.259.862,4.354.335,4.563.834,4.646.286,4.828.396,4.770.153,5.031.179,54.438.885
Sudeste/C. Oeste,18.056.867,18.118.938,18.954.980,19.137.790,18.559.127,18.330.172,18.723.026,19.286.884,19.676.126,20.055.697,20.388.868,20.491.335,229.779.808
Sul,5.279.472,5.465.140,5.742.612,5.671.556,5.266.440,5.261.043,5.315.045,5.392.188,5.362.624,5.440.950,5.591.816,5.739.383,65.528.269
,2008,,,,,,,,,,,,
,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO
TOTAL BRASIL,31.855.946,31.730.941,32.118.715,31.952.656,32.299.963,31.742.988,32.150.090,33.013.175,32.963.809,33.672.661,33.412.177,31.559.278,388.472.399
REGIÃO GEOGRÁFICA,,,,,,,,,,,,,
Norte,1.890.320,1.836.296,1.900.506,1.888.899,1.933.034,1.980.943,1.998.546,2.066.807,2.112.487,2.151.182,2.081.744,2.032.318,23.873.082
Nordeste,5.505.389,5.284.770,5.365.906,5.266.621,5.436.907,5.241.035,5.333.928,5.399.877,5.461.436,5.683.928,5.587.559,5.535.839,65.103.195
Sudeste,17.157.633,17.088.727,17.293.931,17.284.914,17.577.262,17.180.445,17.451.996,17.983.892,17.869.017,18.231.987,18.164.111,16.659.849,209.943.764
Sul,5.491.078,5.689.547,5.723.834,5.604.344,5.382.338,5.368.281,5.419.027,5.520.183,5.412.749,5.481.462,5.441.085,5.366.031,65.899.959
Centro-Oeste,1.811.526,1.831.601,1.834.538,1.907.878,1.970.422,1.972.284,1.946.593,2.042.416,2.108.120,2.124.102,2.137.678,1.965.241,23.652.399
SUBSISTEMA ELÉTRICO,,,,,,,,,,,,,
Sistemas isolados,643.748,632.555,643.022,652.059,674.466,677.641,675.002,731.190,754.347,740.672,754.472,704.255,8.283.429
Norte,2.176.344,2.062.095,2.169.060,2.116.218,2.173.036,2.211.338,2.273.269,2.297.754,2.310.179,2.385.308,2.278.183,2.270.448,26.723.232
Nordeste,4.589.009,4.439.813,4.467.010,4.400.292,4.535.807,4.346.576,4.397.876,4.451.345,4.524.142,4.721.483,4.648.564,4.604.250,54.126.167
Sudeste/C. Oeste,18.955.767,18.906.931,19.115.789,19.179.743,19.534.316,19.139.152,19.384.916,20.012.703,19.962.392,20.343.736,20.289.873,18.614.294,233.439.612
Sul,5.491.078,5.689.547,5.723.834,5.604.344,5.382.338,5.368.281,5.419.027,5.520.183,5.412.749,5.481.462,5.441.085,5.366.031,65.899.959
,2007,,,,,,,,,,,,
,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO
TOTAL BRASIL,30.699.704,30.324.669,31.312.900,32.030.744,31.382.917,30.766.760,30.501.339,31.181.133,31.735.736,32.135.735,32.654.491,32.304.926,377.031.054
REGIÃO GEOGRÁFICA,,,,,,,,,,,,,
Norte,1.833.708,1.752.986,1.820.537,1.832.867,1.889.427,1.899.318,1.912.792,1.950.708,1.964.607,2.006.525,1.995.582,1.991.017,22.850.074
Nordeste,5.184.828,4.883.152,4.985.447,5.117.947,5.132.742,5.079.581,5.131.886,5.212.952,5.148.024,5.440.994,5.502.715,5.546.780,62.367.048
Sudeste,16.699.870,16.615.359,17.288.542,17.761.372,17.290.528,16.890.489,16.590.582,16.970.732,17.585.510,17.488.650,17.983.265,17.621.312,206.786.211
Sul,5.203.429,5.351.937,5.424.059,5.404.659,5.219.841,5.114.607,5.056.898,5.194.645,5.157.841,5.240.394,5.294.910,5.333.163,62.996.383
Centro-Oeste,1.777.869,1.721.235,1.794.315,1.913.899,1.850.379,1.782.765,1.809.181,1.852.096,1.879.754,1.959.172,1.878.019,1.812.654,22.031.338
SUBSISTEMA ELÉTRICO,,,,,,,,,,,,,
Sistemas isolados,610.999,613.674,613.844,632.726,637.929,649.524,640.495,659.124,690.497,692.060,703.637,682.025,7.826.534
Norte,2.129.379,1.965.130,2.091.436,2.088.417,2.172.209,2.138.391,2.187.175,2.234.128,2.180.370,2.260.957,2.221.822,2.252.062,25.921.476
Nordeste,4.293.362,4.072.821,4.116.069,4.245.411,4.227.316,4.203.769,4.229.714,4.283.116,4.255.922,4.508.399,4.586.600,4.616.989,51.639.488
Sudeste/C. Oeste,18.462.535,18.321.107,19.067.492,19.659.531,19.125.622,18.660.469,18.387.057,18.810.120,19.451.106,19.433.925,19.847.522,19.420.687,228.647.173
Sul,5.203.429,5.351.937,5.424.059,5.404.659,5.219.841,5.114.607,5.056.898,5.194.645,5.157.841,5.240.394,5.294.910,5.333.163,62.996.383
,2006,,,,,,,,,,,,
,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO
TOTAL BRASIL,28.880.910,29.383.486,29.953.892,29.839.707,28.967.570,29.060.245,29.072.009,29.886.236,29.945.477,30.093.621,30.552.178,30.493.979,356.129.310
REGIÃO GEOGRÁFICA,,,,,,,,,,,,,
Norte,1.727.932,1.646.352,1.741.060,1.733.653,1.753.959,1.761.920,1.812.929,1.851.943,1.886.314,1.899.959,1.871.574,1.864.370,21.551.966
Nordeste,4.913.182,4.704.041,4.976.022,4.856.338,4.793.831,4.769.521,4.760.160,4.939.400,4.950.953,5.141.501,5.132.731,5.122.710,59.060.390
Sudeste,15.695.620,16.178.817,16.329.281,16.445.972,15.928.366,15.961.332,15.939.907,16.352.070,16.463.113,16.403.494,16.743.680,16.689.648,195.131.300
Sul,4.927.600,5.187.222,5.211.509,5.062.543,4.807.141,4.879.786,4.847.373,4.957.961,4.841.502,4.852.384,5.043.949,5.074.875,59.693.846
Centro-Oeste,1.616.577,1.667.054,1.696.020,1.741.200,1.684.272,1.687.687,1.711.640,1.784.863,1.803.594,1.796.283,1.760.244,1.742.376,20.691.809
SUBSISTEMA ELÉTRICO,,,,,,,,,,,,,
Sistemas isolados,573.678,572.318,573.765,593.409,583.257,597.954,622.176,630.911,673.536,659.545,661.747,644.481,7.386.777
Norte,1.983.975,1.845.538,1.997.492,1.979.413,2.002.934,2.006.597,2.057.709,2.119.573,2.099.683,2.156.880,2.097.589,2.133.465,24.480.849
Nordeste,4.096.942,3.946.336,4.159.995,4.031.775,3.975.978,3.941.536,3.907.604,4.055.591,4.079.746,4.240.865,4.260.667,4.224.038,48.921.073
Sudeste/C. Oeste,17.298.716,17.832.072,18.011.130,18.172.567,17.598.260,17.634.372,17.637.148,18.122.200,18.251.010,18.183.947,18.488.225,18.417.119,215.646.765
Sul,4.927.600,5.187.222,5.211.509,5.062.543,4.807.141,4.879.786,4.847.373,4.957.961,4.841.502,4.852.384,5.043.949,5.074.875,59.693.846
,2005,,,,,,,,,,,,
,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO
TOTAL BRASIL,28.375.437,27.887.618,28.557.969,29.347.027,28.482.150,28.320.550,28.322.317,28.765.003,29.335.128,29.145.312,29.287.616,29.505.146,345.331.272
REGIÃO GEOGRÁFICA,,,,,,,,,,,,,
Norte,1.687.538,1.619.124,1.669.597,1.651.886,1.689.409,1.692.288,1.718.918,1.725.457,1.752.161,1.796.178,1.787.687,1.774.268,20.564.512
Nordeste,4.775.176,4.526.038,4.692.202,4.675.415,4.738.601,4.575.215,4.643.778,4.740.299,4.763.781,4.849.539,4.919.391,5.005.464,56.904.898
Sudeste,15.518.488,15.206.192,15.475.986,16.295.933,15.581.963,15.633.867,15.509.118,15.838.517,16.391.989,16.074.849,16.089.443,16.116.894,189.733.238
Sul,4.809.416,4.966.586,5.069.873,4.997.008,4.799.821,4.754.692,4.724.562,4.743.659,4.654.131,4.668.762,4.748.342,4.948.743,57.885.595
Centro-Oeste,1.584.818,1.569.678,1.650.311,1.726.784,1.672.357,1.664.488,1.725.940,1.717.071,1.773.066,1.755.984,1.742.754,1.659.777,20.243.029
SUBSISTEMA ELÉTRICO,,,,,,,,,,,,,
Sistemas isolados,577.924,557.548,568.774,575.804,572.979,593.222,604.373,600.640,637.941,634.364,639.584,616.391,7.179.544
Norte,1.890.933,1.785.180,1.884.709,1.828.608,1.905.814,1.890.130,1.913.978,1.941.091,1.914.332,1.984.395,1.961.498,2.044.857,22.945.525
Nordeste,4.017.487,3.827.107,3.936.072,3.951.643,3.976.608,3.811.735,3.873.384,3.953.202,3.993.509,4.056.077,4.133.520,4.144.831,47.675.175
Sudeste/C. Oeste,17.079.676,16.751.197,17.098.542,17.993.964,17.226.929,17.270.770,17.206.020,17.526.411,18.135.214,17.801.714,17.804.672,17.750.325,209.645.433
Sul,4.809.416,4.966.586,5.069.873,4.997.008,4.799.821,4.754.692,4.724.562,4.743.659,4.654.131,4.668.762,4.748.342,4.948.743,57.885.595
,2004,,,,,,,,,,,,
,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO
TOTAL BRASIL,26.978.361,26.508.269,27.284.337,28.046.181,27.248.157,27.082.961,27.346.005,27.656.858,28.282.497,28.509.867,28.363.331,28.562.106,331.868.931
REGIÃO GEOGRÁFICA,,,,,,,,,,,,,
Norte,1.574.434,1.507.449,1.574.177,1.598.862,1.629.129,1.641.382,1.665.003,1.729.896,1.687.157,1.724.167,1.719.638,1.740.621,19.791.913
Nordeste,4.457.112,4.139.867,4.372.743,4.461.999,4.423.585,4.409.302,4.376.174,4.438.515,4.570.030,4.657.881,4.708.465,4.770.509,53.786.182
Sudeste,14.929.528,14.714.713,14.903.803,15.501.322,14.906.629,14.898.517,15.094.286,15.189.575,15.643.732,15.793.624,15.801.001,15.750.648,183.127.378
Sul,4.510.113,4.690.228,4.898.770,4.873.311,4.723.026,4.556.564,4.598.793,4.653.182,4.654.412,4.590.697,4.529.419,4.665.214,55.943.730
Centro-Oeste,1.507.174,1.456.013,1.534.844,1.610.687,1.565.788,1.577.197,1.611.750,1.645.690,1.727.167,1.743.498,1.604.807,1.635.114,19.219.728
SUBSISTEMA ELÉTRICO,,,,,,,,,,,,,
Sistemas isolados,537.166,516.011,525.472,538.284,539.975,539.350,552.988,559.477,583.883,605.454,598.479,603.585,6.700.124
Norte,1.795.207,1.707.571,1.815.858,1.813.828,1.864.450,1.855.965,1.880.414,1.955.055,1.877.032,1.934.410,1.895.129,1.921.259,22.316.178
Nordeste,3.719.427,3.444.708,3.629.040,3.733.031,3.671.927,3.678.193,3.633.964,3.680.492,3.823.780,3.870.290,3.961.920,4.011.821,44.858.591
Sudeste/C. Oeste,16.416.449,16.149.752,16.415.197,17.087.727,16.448.778,16.452.890,16.679.846,16.808.652,17.343.391,17.509.015,17.378.384,17.360.226,202.050.308
Sul,4.510.113,4.690.228,4.898.770,4.873.311,4.723.026,4.556.564,4.598.793,4.653.182,4.654.412,4.590.697,4.529.419,4.665.214,55.943.730
